iso3,hazard,rp,income_cat,fa,income_cat,v_ew
ARG,Earthquake,5000.0,q2,0.2503875471175369,q2,0.3203704712271822
ARG,Earthquake,5000.0,q3,0.2503875471175369,q3,0.275838732624553
ARG,Earthquake,5000.0,q4,0.2503875471175369,q4,0.4366425297624744
ARG,Earthquake,5000.0,q5,0.2503875471175369,q5,0.633830795978134
ARG,Flood,10.0,q1,0.0082505635538339,q1,0.5574791547630937
ARG,Flood,10.0,q2,0.0082121384188619,q2,0.4172208692995625
ARG,Flood,10.0,q3,0.0083104933612137,q3,0.3592268518732978
ARG,Flood,10.0,q4,0.0083104933612137,q4,0.5686428438389821
ARG,Flood,10.0,q5,0.0083104933612137,q5,0.6107442513040887
ARG,Flood,25.0,q1,0.0167344217228776,q1,0.5574791547630937
ARG,Flood,25.0,q2,0.0166564849359922,q2,0.4172208692995625
ARG,Flood,25.0,q3,0.0168559759250748,q3,0.3592268518732978
ARG,Flood,25.0,q4,0.0168559759250748,q4,0.5686428438389821
ARG,Flood,25.0,q5,0.0168559759250748,q5,0.6107442513040887
ARG,Flood,50.0,q1,0.0231749194142927,q1,0.5574791547630937
ARG,Flood,50.0,q2,0.023066987465081,q2,0.4172208692995625
ARG,Flood,50.0,q3,0.0233432556070239,q3,0.3592268518732978
ARG,Flood,50.0,q4,0.0233432556070239,q4,0.5686428438389821
ARG,Flood,50.0,q5,0.0233432556070239,q5,0.6107442513040887
ARG,Flood,100.0,q1,0.0258231210514407,q1,0.5574791547630937
ARG,Flood,100.0,q2,0.0257028557016466,q2,0.4172208692995625
ARG,Flood,100.0,q3,0.0260106930470333,q3,0.3592268518732978
ARG,Flood,100.0,q4,0.0260106930470333,q4,0.5686428438389821
ARG,Flood,100.0,q5,0.0260106930470333,q5,0.6107442513040887
ARG,Flood,250.0,q1,0.0274348119298966,q1,0.5574791547630937
ARG,Flood,250.0,q2,0.027307040494108,q2,0.4172208692995625
ARG,Flood,250.0,q3,0.0276340908014222,q3,0.3592268518732978
ARG,Flood,250.0,q4,0.0276340908014222,q4,0.5686428438389821
ARG,Flood,250.0,q5,0.0276340908014222,q5,0.6107442513040887
ARG,Flood,500.0,q1,0.0288512803977399,q1,0.5574791547630937
ARG,Flood,500.0,q2,0.0287169120802104,q2,0.4172208692995625
ARG,Flood,500.0,q3,0.0290608481037049,q3,0.3592268518732978
ARG,Flood,500.0,q4,0.0290608481037049,q4,0.5686428438389821
ARG,Flood,500.0,q5,0.0290608481037049,q5,0.6107442513040887
ARG,Flood,1000.0,q1,0.0305350072099354,q1,0.5574791547630937
ARG,Flood,1000.0,q2,0.0303927973153315,q2,0.4172208692995625
ARG,Flood,1000.0,q3,0.0307568050408944,q3,0.3592268518732978
ARG,Flood,1000.0,q4,0.0307568050408944,q4,0.5686428438389821
ARG,Flood,1000.0,q5,0.0307568050408944,q5,0.6107442513040887
ARG,Flood,2500.0,q1,0.0332539383625196,q1,0.5574791547630937
ARG,Flood,2500.0,q2,0.0330990656606013,q2,0.4172208692995625
ARG,Flood,2500.0,q3,0.0334954857559406,q3,0.3592268518732978
