iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma,dk,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
ROU,Wind,50.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,100.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,250.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,1000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,2500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,5000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
RWA,Earthquake,10.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,11.318967636803032,0.00425040926156,0.00042685523560275125,0.09999999999999998,58.1347150946381,2.9030777235337375,1.1418772379232698,268.6511269044652
RWA,Earthquake,25.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,28.217945532581542,0.0105961798710254,0.001070966136925176,0.09999999999999998,58.1347150946381,7.23731100822047,2.8466756632333845,268.65112690446523
RWA,Earthquake,50.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,56.17302012053236,0.0210936485226618,0.0021548178220345436,0.09999999999999998,58.1347150946381,14.407201134253729,5.666832446139799,268.6511269044652
RWA,Earthquake,100.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,111.1497296675021,0.041738067954409,0.004355601173189799,0.09999999999999998,58.1347150946381,28.50757370534015,11.212978990767125,268.65112690446523
RWA,Earthquake,250.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,270.4866835279767,0.1015710214646996,0.01130540353120508,0.09999999999999998,58.1347150946381,69.37415943388773,27.287169377329167,268.6511269044651
