iso3,income_cat,axfin,social,n,c,gamma_SP,k
NAM,poor,0.1873,0.3155451530301059,0.2,1345.9606968765502,0.28903320957727263,3457.3157564414623
NAM,nonpoor,0.437,0.14815474902210513,0.8,11866.980941262202,1.1777416976056816,38212.4883560351
NPL,poor,0.0969999999999999,0.21516886527840187,0.2,1639.8913593022721,0.27629404442253247,6100.162963102555
NPL,nonpoor,0.2037,0.33296571573263267,0.8,4592.152103603132,1.180926488894367,14577.196342878802
NLD,poor,0.5321,0.5442658,0.2,26998.888300750266,0.5156200825871617,109593.68363963338
NLD,nonpoor,0.7406,0.479607095,0.8,67311.73667977481,1.1210949793532095,315842.6964500287
NIC,poor,0.0312,0.3660593032080175,0.2,1480.7539787248757,0.6354150152019709,4144.315903603742
NIC,nonpoor,0.0806,0.13512661370088772,0.8,6907.753411201104,1.0911462461995074,26417.34628237492
NER,poor,0.0115,0.5075120034906316,0.2,483.63280191794536,0.4795733961653898,1708.7233528290044
NER,nonpoor,0.0341,0.39347059194781897,0.8,1472.3939763555131,1.1301066509586526,6417.239609239071
NGA,poor,0.0805,0.042406867548086404,0.2,1733.3850749155313,0.14057738177345802,5593.190346017925
NGA,nonpoor,0.2414,0.11203353741888539,0.8,5770.604122470229,1.2148556545566356,17281.67565601113
NOR,poor,0.7709,0.5941350899999999,0.2,29999.09907857859,0.5443123303370144,100064.49332622669
NOR,nonpoor,0.8344,0.469288168,0.8,76825.57307843148,1.1139219174157464,329686.6347197234
PAK,poor,0.0127,0.09310017653106119,0.2,2575.9981590213683,0.2678109435281568,4298.353555953275
PAK,nonpoor,0.0311,0.1746976545714117,0.8,6077.209029625821,1.1830472641179608,9230.364181317353
PAN,poor,0.0894,0.3403302625322648,0.2,6117.420325965086,0.3575039647061414,19635.849940724453
PAN,nonpoor,0.192,0.16980351838877447,0.8,40053.74097417647,1.1606240088234647,162312.5260589987
PNG,poor,0.1438,0.0332083868487377,0.2,957.041653558682,0.2794892463852445,2934.2755594299756
PNG,nonpoor,0.1438,0.030142247524601408,0.8,4451.920775632204,1.1801276884036889,13692.79119858503
PRY,poor,0.0295,0.20375770123865472,0.2,3377.202371305727,0.4426613318237706,9480.49187130672
PRY,nonpoor,0.0526,0.1104078997258416,0.8,16069.94523635982,1.1393346670440574,50422.50890072748
PER,poor,0.0482,0.20754823969144506,0.2,3644.8022060344492,0.38298134591819594,12307.621571198686
PER,nonpoor,0.2108,0.15405654479950048,0.8,15018.727437837257,1.154254663520451,54345.24076441121
PHL,poor,0.0650999999999999,0.34195947063821036,0.2,2731.8483326083287,0.28893174650665704,8352.808533034808
PHL,nonpoor,0.2747,0.3876149467135138,0.8,10044.460033074494,1.1777670633733357,28921.73784281819
POL,poor,0.3035,0.6546619999999997,0.2,16184.720816699697,0.4882101659365758,31205.713287955798
POL,nonpoor,0.4049,0.5692609999999999,0.8,43087.07745632269,1.127947458515856,103998.37500621105
PRT,poor,0.3067,0.6274026899999999,0.2,12215.705639069201,0.3857509353933463,81427.61935658335
PRT,nonpoor,0.5069,0.5562113299999999,0.8,41655.726809339445,1.1535622661516634,336795.9658773003
ROU,poor,0.1117,0.585522,0.2,9040.996810184584,0.3530923577368224,21789.17583274779
