country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Tajikistan,4137.27759952148,9952787.0,0.074,0.27968,1054.18948358818,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3854263244630784,1.0,0.23312181055614636
Tanzania,2622.79248046875,65497748.0,0.069,0.36682,1192.40380859375,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4132043671227497,1.0,0.04908883476038241
Thailand,17507.1235022913,71697030.0,0.076,0.5288900000000001,6908.80211929543,1,0.2,1.5,0.06,0.8,0.05,1,1,0.24033636299972685,1.0,0.23052295307201695
Timor-Leste,4089.17273291105,1341296.0,0.094,0.3207399999999999,2358.4090544008,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1289524113701692,1.0,0.06093003358048283
Togo,2208.68846291901,8848699.0,0.0579999999999999,0.43921,918.376755793481,1,0.2,1.5,0.06,0.8,0.05,1,1,0.37089203120863146,1.0,0.09406939928462622
Tonga,6142.96353651678,106858.0,0.077,0.23125,4425.9705910742,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11793689030129194
Trinidad and Tobago,23525.7087345723,1531044.0,0.049,0.5334,18222.2603252218,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020776,1.0,0.14658594109072995
Tunisia,10577.7075053529,12356117.0,0.078,0.70214,3776.66777934015,1,0.2,1.5,0.06,0.8,0.05,1,1,0.24926564326912068,1.0,0.1462250786770109
Uganda,2281.42781257516,47249585.0,0.061,0.26159,964.224385224431,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5735745521051661,1.0,0.057398642818722506
Ukraine,10731.4404296875,38000000.0,0.1,0.69919,4533.9755859375,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2458541924399426,1.0,0.4049588616520347
United Arab Emirates,74299.0129804715,9441129.0,0.092,0.87543,53757.8632508308,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2543606323095617,1.0,0.1781152662433034
United Kingdom,46831.0854340415,66971411.0,0.076,0.84398,45850.4261222629,1,0.2,1.5,0.06,0.8,0.05,1,1,0.30312817474804055,1.0,0.434749750752
United States,64702.9783105467,333287557.0,0.06,0.83084,76398.5917422054,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3187368533465751,1.0,0.12240000000000002
Uruguay,24426.6593485458,3422794.0,0.057,0.95688,20795.0423535553,1,0.2,1.5,0.06,0.8,0.05,1,1,0.29188665397068997,1.0,0.26676290925129736
Uzbekistan,8073.21043996643,35648100.0,0.074,0.50466,2255.15115489364,1,0.2,1.5,0.06,0.8,0.05,1,1,0.730183656731034,1.0,0.13875371185731977
Vanuatu,2785.9038597746,326740.0,0.075,0.25816,3010.29217286159,1,0.2,1.5,0.06,0.8,0.05,1,1,0.297067615658363,1.0,0.09948367629363848
West Bank and Gaza,5722.40917459721,5043612.0,0.073,0.77291,3789.32796575153,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2839136336093442,1.0,0.04417286254674758
Zambia,3298.14289049328,20017675.0,0.031,0.45761,1487.90776431025,1,0.2,1.5,0.06,0.8,0.05,1,1,0.425750249346411,1.0,0.0059949503458765424
Zimbabwe,2143.23757357683,16320537.0,0.06,0.32395,1266.99603069032,1,0.2,1.5,0.06,0.8,0.05,1,1,19.14376169472781,1.0,0.08879780204410816
Syrian Arab Republic,4959.392523364486,22125249.0,0.072,0.56769,537.211361424552,1,0.2,1.5,0.06,0.8,0.05,1,1,0.270750756517352,1.0,1.4035496858423435
