country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Malaysia,poor,0.2,8069.881303170413,0.3386,0.5935371509544717,28712.657748278372,0.021642245946048976,1.0
Maldives,nonpoor,0.8,23890.405574979948,0.3493,0.9213911655967204,134027.36395986658,0.0006266171021001778,0.4
Maldives,poor,0.2,9335.877480453197,0.2764,1.3144353376131181,48791.05818688879,0.0006266171021001778,0.4
Mali,nonpoor,0.8,2464.8999079714545,0.1402999999999999,1.204605175511825,3617.759180285307,0.043336052450396935,0.6000000000000001
Mali,poor,0.2,799.426997179931,0.0695,0.1815792979526999,1208.4717921732888,0.024086553070380063,0.6000000000000001
Malta,nonpoor,0.8,55475.56098507234,0.5566,1.1015435827688953,197620.97454975848,0.010780463121445429,0.0
Malta,poor,0.2,19295.847299155597,0.305,0.5938256689244187,47718.901239649225,0.010780463121445429,0.0
Marshall Islands,nonpoor,0.8,7100.788477527094,0.05,1.1422077828051258,31137.13200353127,0.004020319860323022,0.4
Marshall Islands,poor,0.2,2203.6929757842704,0.05,0.4311688687794967,9422.01321212501,0.004020319860323022,0.4
Mauritania,nonpoor,0.8,6290.774232943519,0.106,1.1747092302200512,28452.298245620892,0.037017260787040075,0.6000000000000001
Mauritania,poor,0.2,2040.251102576276,0.078,0.3011630791197943,9413.470070264679,0.0409381592956062,0.6000000000000001
Mauritius,nonpoor,0.8,26432.895080900184,0.3261,1.1358094046113092,82755.15291437935,0.022418060048886104,0.8
Mauritius,poor,0.2,8203.312266486262,0.2322,0.45676238155476306,23321.520063742984,0.02299329572790914,0.8
Mexico,nonpoor,0.8,23212.455216121918,0.1626,1.1643135600795274,100829.95150924477,0.005783104369089077,0.8
Mexico,poor,0.2,4886.8326770783,0.049,0.34274575968188964,20020.433778000668,0.005542042102289926,0.8
Moldova,nonpoor,0.8,14502.431295315335,0.1075,1.0823260061390156,36728.73126919969,0.02609938479353701,0.6000000000000001
Moldova,poor,0.2,6517.2216277056605,0.0398,0.6706959754439368,11396.3315587317,0.020397288182363724,0.6000000000000001
Mongolia,nonpoor,0.8,13874.603784125564,0.3469,1.1043698716369323,61350.51824741054,0.02739040017181584,0.6000000000000001
Mongolia,poor,0.2,4760.450375443733,0.1802,0.5825205134522697,17572.57247225111,0.030060959853152446,0.6000000000000001
Montenegro,nonpoor,0.8,26138.73320855743,0.1421,1.1612735795045832,82947.89576050364,0.00853456519851903,0.0
Montenegro,poor,0.2,5851.543231482762,0.0393,0.35490568198166667,15558.63797013351,0.009884574731595479,0.0
Morocco,nonpoor,0.8,9401.74544494629,0.0947,1.0847356530743526,47331.63161836102,0.013417222670125373,0.8
Morocco,poor,0.2,2700.608552246094,0.0416,0.6610573877025891,11406.844068484448,0.01530285165450671,0.8
Mozambique,nonpoor,0.8,1485.4729971651682,0.1414,1.1840769047835953,4512.091182678669,0.022301203553075712,0.8
Mozambique,poor,0.2,273.47620031492636,0.0598,0.2636923808656181,815.6553092332674,0.02537700899823406,0.8
Myanmar,nonpoor,0.8,4696.758035481849,0.1175,1.0806427022151261,14000.566409630885,0.0758056231346506,0.4
Myanmar,poor,0.2,1835.3961148535,0.0496,0.6774291911394943,4300.126646590097,0.0833570179113201,0.4
Namibia,nonpoor,0.8,11530.666828688943,0.437,1.1043838943781732,37163.20184180955,0.01097807821812304,0.8
Namibia,poor,0.2,1328.6365070094207,0.1873,0.5824644224873077,3291.333141051874,0.015683779919864842,0.8
Nepal,nonpoor,0.8,4586.9485733208485,0.2037,1.1785376313283724,14600.598187895625,0.024639969676351733,0.4
Nepal,poor,0.2,1660.7054812895547,0.0969999999999999,0.28584947468650906,6006.555585797719,0.028782226837742956,0.4
Netherlands,nonpoor,0.8,66493.54800208868,0.7406,1.102457122598573,312744.93621188373,0.02118717880461088,1.0
Netherlands,poor,0.2,26948.926943577786,0.5321,0.5901715096057077,106585.4495172373,0.023223498051827527,1.0
Nicaragua,nonpoor,0.8,6906.785357969763,0.0806,1.0752812789700958,26421.70081548216,0.02425566094929991,0.6000000000000001
Nicaragua,poor,0.2,1484.7041233148911,0.0312,0.6988748841196164,4127.191740425761,0.025060654033372723,0.6000000000000001
Niger,nonpoor,0.8,1472.4054813298446,0.0341,1.1303636256762677,6331.9316915105,0.029773038059584762,0.6000000000000001
Niger,poor,0.2,484.4277774072215,0.0115,0.478545497294929,2053.567725780576,0.01654811227001977,0.6000000000000001
Nigeria,nonpoor,0.8,5763.4699133314225,0.2414,1.2123501938082675,17304.5133585824,0.0055861139237232205,0.8
Nigeria,poor,0.2,1761.921911072254,0.0805,0.15059922476692927,5501.83953453296,0.00538740074264204,0.8
Norway,nonpoor,0.8,76907.10914828256,0.8344,1.0961266527868916,329211.22112045175,0.00154904951583788,0.8
Norway,poor,0.2,29683.445636179233,0.7709,0.615493388852433,102010.2759589494,0.00154904951583788,0.8
