iso3,hazard,rp,income_cat,fa,v_ew
ATG,Earthquake,1000.0,q4,0.5378978136012943,0.1419977958156512
ATG,Earthquake,1000.0,q5,0.5378978136012943,0.09999999999999992
ATG,Earthquake,2500.0,q1,0.7423618774059401,0.3
ATG,Earthquake,2500.0,q2,0.7423618774059401,0.3
ATG,Earthquake,2500.0,q3,0.7423618774059401,0.3
ATG,Earthquake,2500.0,q4,0.7423618774059401,0.1419977958156512
ATG,Earthquake,2500.0,q5,0.7423618774059401,0.09999999999999992
ATG,Earthquake,5000.0,q1,0.9,0.31190860000021275
ATG,Earthquake,5000.0,q2,0.9,0.31190860000021275
ATG,Earthquake,5000.0,q3,0.9,0.31190860000021275
ATG,Earthquake,5000.0,q4,0.9,0.1476344456532528
ATG,Earthquake,5000.0,q5,0.9,0.10396953333340418
ATG,Storm surge,10.0,q1,0.08529729030150947,0.27599999999999997
ATG,Storm surge,10.0,q2,0.0759458115402459,0.27599999999999997
ATG,Storm surge,10.0,q3,0.0759458115402459,0.27599999999999997
ATG,Storm surge,10.0,q4,0.0759458115402459,0.1306379721503991
ATG,Storm surge,10.0,q5,0.0759458115402459,0.09199999999999992
ATG,Storm surge,25.0,q1,0.17298364091156826,0.27599999999999997
ATG,Storm surge,25.0,q2,0.15401876127339353,0.27599999999999997
ATG,Storm surge,25.0,q3,0.15401876127339353,0.27599999999999997
ATG,Storm surge,25.0,q4,0.15401876127339353,0.1306379721503991
ATG,Storm surge,25.0,q5,0.15401876127339353,0.09199999999999992
ATG,Storm surge,50.0,q1,0.22586001317423876,0.27599999999999997
