iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta
MYS,28383.618646256495,33938221.0,0.78214,0.7205719607313039,0.5125403399162094,0.8333333333333334,0.7583333333333333,0.24949212698674084,0.15322399622846106,0.0856614066853134,0.000110286496,0.06,0.05,0.8,1.5
NAM,9762.776892385069,2567012.0,0.53956,0.6244079980796371,0.601563449053223,0.6666666666666666,0.5333333333333333,0.312294397553134,0.1210603560359769,0.19526637580934655,0.156170136674,0.06,0.05,0.8,1.5
NER,1274.6417414679997,26207977.0,0.1689399999999999,0.5417738643394608,0.46106069042329145,0.6666666666666666,0.4083333333333333,0.23278847187557952,0.052466495537785936,0.1809520015768769,0.50905936535,0.06,0.05,0.8,1.5
NGA,4963.160312959289,218541212.0,0.53521,0.5289779172613325,0.4210564912689554,0.8333333333333334,0.5416666666666667,0.33211773435943276,0.08209730808525753,0.4413239793461269,0.308632983511,0.06,0.05,0.8,1.5
NIC,5822.353524705861,6948392.0,0.59556,0.5839488873340655,0.5977714831131098,0.6666666666666666,0.4666666666666667,0.26510141584931673,0.15225601303932546,0.18765460489592545,0.039410286567,0.06,0.05,0.8,1.5
NLD,59249.1670039699,17700982.0,0.92886,0.6848459183373843,0.6894908545471953,0.8333333333333334,0.9166666666666667,0.2157709406280088,0.4384366333776141,0.15911231849513008,0.0002796322,0.06,0.05,0.8,1.5
NOR,67296.15923936607,5457127.0,0.83664,0.7135282568782568,0.4677019372548988,1.0,1.0,0.23773524714427238,0.4594520981887009,0.028886040177446053,0.001565339637,0.06,0.05,0.8,1.5
NPL,4001.69995474296,30547580.0,0.21451,0.543613903690862,0.30283563245688955,0.6666666666666666,0.6666666666666666,0.31064782597856616,0.3053614946613031,0.29526599441076884,0.082404990953,0.06,0.05,0.8,1.5
PAK,5376.96685550493,235824862.0,0.37731,0.5128272667527066,0.4399285433996015,0.8333333333333334,0.5083333333333333,0.6522309077626153,0.16331691342241056,0.2230725230126806,0.049324480598,0.06,0.05,0.8,1.5
PAN,33266.4768445342,4408581.0,0.6914100000000001,0.44902131420840696,0.301850409053779,0.8333333333333334,0.7083333333333334,0.24867076843824124,0.16498048998975656,0.1663068369330726,0.011082572996,0.06,0.05,0.8,1.5
PER,12743.9423914767,34049588.0,0.78708,0.4081936571991137,0.42481044971486215,0.8333333333333334,0.7333333333333334,0.2774178440794039,0.13922899790479434,0.1887045718235737,0.02871748751,0.06,0.05,0.8,1.5
PHL,8581.93769298126,115559009.0,0.47977,0.7435303007378833,0.5448626633626521,0.6666666666666666,0.6416666666666666,0.3459349526152716,0.36342277809657764,0.15471785284280815,0.067541309528,0.06,0.05,0.8,1.5
POL,37706.606128398096,36821749.0,0.60134,0.45110590521357724,0.631284076488117,0.8333333333333334,0.775,0.42158623054222205,0.3977643288747975,0.11277079874087025,0.0,0.06,0.05,0.8,1.5
PRT,35767.7225752854,10409704.0,0.67381,0.598726219230438,0.553313015176716,0.8333333333333334,0.7416666666666667,0.1251835191172326,0.4001928022987026,0.1304590331653514,0.004722897288,0.06,0.05,0.8,1.5
PRY,13531.396663349,6780744.0,0.62818,0.4804687854724018,0.5599869140522723,0.8333333333333334,0.6583333333333333,0.32039027475084436,0.11175821435931228,0.1867608220925649,0.013295584114,0.06,0.05,0.8,1.5
ROU,32495.909160571402,19047009.0,0.54489,0.4036449922733403,0.49322329899283723,0.8333333333333334,0.6916666666666667,0.3181439389878922,0.44838978531040435,0.11253507184261602,0.014093622224,0.06,0.05,0.8,1.5
RUS,27450.449218749993,144236933.0,0.75126,0.38012716921762624,0.590647380456112,0.7407407407407408,0.6537037037037037,0.2324524602368638,0.23305461210559003,0.04790779853111952,0.000101642723,0.06,0.05,0.8,1.5
RWA,2364.8019699513807,13776698.0,0.17721,0.5417738643394608,0.5003126479380394,0.6666666666666666,0.5,0.585174807157438,0.08853394670627733,0.12650856585541143,0.520053934004,0.06,0.05,0.8,1.5
SDN,3570.607421875,46874204.0,0.35956,0.5417738643394608,0.45152595407700846,0.6666666666666666,0.6666666666666666,0.6196936360546678,0.0613748950112631,0.19445293837719507,0.152630599415,0.06,0.05,0.8,1.5
SEN,3564.6281367603196,17316449.0,0.4908599999999999,0.5152567271479656,0.37845531679410405,0.6666666666666666,0.5208333333333333,0.3456410886964015,0.14326657011841715,0.22352973828174436,0.092225657019,0.06,0.05,0.8,1.5
SLV,9396.01377999827,6336392.0,0.74767,0.6260676719994388,0.49506730986677366,0.6666666666666666,0.43333333333333335,0.30212378059748374,0.3541452756014177,0.21346453215204073,0.033633981754,0.06,0.05,0.8,1.5
SRB,20885.8886079244,6664449.0,0.56873,0.5111993892256985,0.3532380422075687,0.6666666666666666,0.575,0.2280092387089795,0.36062287214411337,0.19001817290169773,0.015570310022,0.06,0.05,0.8,1.5
SVK,33176.1845690068,5431752.0,0.53909,0.5623022545867079,0.5282852000804622,0.5,0.6333333333333333,0.21839330687198988,0.3449922278949884,0.1152014023648334,0.001181162619,0.06,0.05,0.8,1.5
SVN,41015.22523123071,2111986.0,0.55751,0.6681934502451844,0.6142236500961734,0.8333333333333334,0.8,0.15744270973287583,0.4398151301988858,0.13221787660532103,0.0,0.06,0.05,0.8,1.5
SWE,55359.342654144275,10486941.0,0.88492,0.5999160592339046,0.5260595642312563,0.8333333333333334,0.9166666666666667,0.22170190067143244,0.47074873812071033,0.08156290532467106,0.003890895303,0.06,0.05,0.8,1.5
SWZ,9058.58317666301,1201670.0,0.24576,0.5611604077563926,0.43110568986427417,0.8333333333333334,0.5416666666666667,0.31404057961183984,0.20829059007857817,0.11221885177998435,0.360798469645,0.06,0.05,0.8,1.5
TCD,1412.6707184812701,17723315.0,0.2406299999999999,0.5417738643394608,0.4490549501587892,0.6666666666666666,0.6666666666666666,0.5538995526753602,0.03824834722539013,0.2715017970512869,0.308829425857,0.06,0.05,0.8,1.5
