iso3,income_cat,income_share,axfin,diversified_share,n,c,gamma_SP,k,liquidity
KOR,q2,0.13,0.5513448817245967,0.3191407220751532,0.2,29614.08127530288,0.5481081120946834,159966.95162577182,2296.070884388549
KOR,q3,0.174,0.7024286511147096,0.406780347537812,0.2,39637.30878386693,0.935082362522048,186549.6055381652,2231.962418560075
KOR,q4,0.23,0.6765845569319104,0.37474804452406324,0.2,52394.14379476663,1.1386961845961172,259903.6935151442,2333.5472939723686
KOR,q5,0.391,0.7722509558798484,0.384314684418857,0.2,89070.04445110328,1.9852005663145025,435075.98252821295,2369.080285287205
LAO,q1,0.07007007007007,0.0643480094803011,0.06441804190843521,0.2,2784.465044106587,0.2473247777486877,10006.280667500112,221.14283102771066
LAO,q2,0.1081081081081081,0.1114914736169028,0.05920119708745868,0.2,4296.03178233588,0.35068429093554215,15524.346005097872,250.01243400874696
LAO,q3,0.1471471471471471,0.1618466389353052,0.07640668279381183,0.2,5847.376592623836,0.6160426037389528,20743.92428882753,281.4502603155812
LAO,q4,0.2102102102102102,0.1886867927847938,0.09300327571942638,0.2,8353.395132319767,1.0712223074043052,29101.663544797895,309.4937594521972
LAO,q5,0.4644644644644644,0.3253630302830719,0.10667089946925419,0.2,18457.025435220818,2.714726020172512,63331.86307662682,346.6933633058394
LBN,q1,0.0789210789210789,0.0074072135542218,0.2850679683546847,0.2,5124.705862983599,0.4569161042085829,27324.0789717788,557.8061284475708
LBN,q2,0.1268731268731268,0.0092040756981328,0.212185683921916,0.2,8238.451197454646,0.5467398801083765,48404.00247710785,583.2899700141365
LBN,q3,0.1698301698301698,0.0267387749619631,0.1944912139133718,0.2,11027.848059584961,0.670825961353913,66248.01779103513,562.9731983952743
LBN,q4,0.2247752247752248,0.0101578733598369,0.25807056834487097,0.2,14595.681255333042,1.178099440475825,80760.46347291097,615.980287674467
LBN,q5,0.3996003996003996,0.075488311737149,0.2646036121826022,0.2,25947.877787258738,2.147418613853303,142309.9180954493,642.3084817431339
LBR,q1,0.072072072072072,0.0850556722333291,0.0652972376265081,0.2,526.4588794078481,0.2630570834418972,2060.307296126459,58.72109928954674
LBR,q2,0.1161161161161161,0.1054849119428609,0.0710614322786039,0.2,848.1837501570894,0.46122691334862637,3298.9137526114023,66.07321211925253
LBR,q3,0.1601601601601602,0.0947486657849482,0.07456558787012162,0.2,1169.9086209063303,0.6675458865142899,4533.061437404163,65.88558389788302
LBR,q4,0.2232232232232232,0.1880885005836763,0.08364124487262194,0.2,1630.5601403881976,1.0436335843053315,6255.994734193249,60.056260331764975
LBR,q5,0.4284284284284285,0.1604696948326037,0.10708839899686468,0.2,3129.5055609244337,2.5645365323898552,11699.79392633763,61.440688067558646
LKA,q1,0.074,0.1825145408704772,0.13884409164396103,0.2,4514.050836111039,0.3313401331012287,13245.896858695842,485.01266064201457
LKA,q2,0.111,0.3565874974616195,0.15194262991269605,0.2,6771.076254166558,0.5438980941456557,19566.631916648745,514.945757908083
