iso3,income_cat,income_share,social
GRD,q1,0.055,0.2679511394971653
GRD,q2,0.09699999999999999,0.2639533904479062
GRD,q3,0.135,0.254385585311762
GRD,q4,0.209,0.1895373923043948
GRD,q5,0.504,0.1895373923043948
GTM,q1,0.045,0.23669434523342006
GTM,q2,0.086,0.25419953929588696
GTM,q3,0.132,0.2809794703874563
GTM,q4,0.201,0.1501241082794034
GTM,q5,0.536,0.12623458897628367
HND,q1,0.036000000000000004,0.1270746531594289
HND,q2,0.08,0.1326119811618557
HND,q3,0.13699999999999998,0.12103872359597014
HND,q4,0.225,0.11184210237489989
HND,q5,0.522,0.09335913876536879
HRV,q1,0.08199999999999999,0.38902711975619647
HRV,q2,0.136,0.29219201738244416
HRV,q3,0.179,0.2872395569180872
HRV,q4,0.23199999999999998,0.2806070575256335
HRV,q5,0.371,0.2669112622817767
HTI,q1,0.05494505494505494,0.128396685817047
HTI,q2,0.1028971028971029,0.1115524935051831
HTI,q3,0.15184815184815184,0.0688446010685537
HTI,q4,0.21978021978021975,0.0697788807381907
HTI,q5,0.47052947052947053,0.0697788807381907
HUN,q1,0.09,0.801483887853249
HUN,q2,0.132,0.5979259492106787
HUN,q3,0.177,0.5521780349049894
HUN,q4,0.22,0.4518160697343086
HUN,q5,0.381,0.2596471776322369
IDN,q1,0.079,0.1203668241278537
IDN,q2,0.11599999999999999,0.1500226442713104
IDN,q3,0.152,0.1961118102012535
IDN,q4,0.207,0.1207064628602164
IDN,q5,0.446,0.1207064628602164
IND,q1,0.07992007992007993,0.1072078459213192
IND,q2,0.12187812187812189,0.0861916002465969
IND,q3,0.16383616383616384,0.1050315908503535
IND,q4,0.2247752247752248,0.1177362932126432
IND,q5,0.4095904095904096,0.1177362932126432
IRL,q1,0.08891108891108893,0.4303762301622303
IRL,q2,0.13086913086913088,0.3057860289013905
IRL,q3,0.16983016983016985,0.3713503839980611
IRL,q4,0.21878121878121878,0.2944431501006843
IRL,q5,0.39160839160839167,0.2944431501006843
IRN,q1,0.07200000000000001,0.0728668126165128
IRN,q2,0.11900000000000001,0.03713005165008677
IRN,q3,0.163,0.02709801446259922
IRN,q4,0.22399999999999998,0.023458692139052356
IRN,q5,0.42200000000000004,0.016695162132804475
IRQ,q1,0.08800000000000001,0.12955245779273072
IRQ,q2,0.131,0.11363899866469897
IRQ,q3,0.171,0.11486742715883519
IRQ,q4,0.225,0.10826467804127962
IRQ,q5,0.385,0.11341471469524693
ISL,q1,0.09699999999999999,0.4683972848992203
ISL,q2,0.142,0.3222601214537459
ISL,q3,0.179,0.3482077991565239
ISL,q4,0.223,0.3077978722881926
ISL,q5,0.359,0.3077978722881926
ISR,q1,0.055944055944055944,0.3169766431399652
ISR,q2,0.1098901098901099,0.2197626452670717
ISR,q3,0.16683316683316685,0.271117208355348
ISR,q4,0.23776223776223782,0.2522971583523499
ISR,q5,0.4295704295704296,0.2522971583523499
ITA,q1,0.06506506506506507,0.4507583295700193
ITA,q2,0.12112112112112113,0.3127207442222298
ITA,q3,0.16916916916916916,0.3502350558974764
ITA,q4,0.22922922922922923,0.3020848175313401
ITA,q5,0.41541541541541543,0.3020848175313401
JAM,q1,0.057,0.21230953375544723
JAM,q2,0.10300000000000001,0.3195476055313186
JAM,q3,0.152,0.19579005485680456
JAM,q4,0.22699999999999998,0.17635295280809127
JAM,q5,0.461,0.169783286451075
JOR,q1,0.08199999999999999,0.24754125056812332
JOR,q2,0.121,0.18457321656168174
JOR,q3,0.158,0.17251755477045033
JOR,q4,0.215,0.18567787762833837
JOR,q5,0.424,0.22375952353611764
JPN,q1,0.07892107892107893,0.5910028474856245
JPN,q2,0.1288711288711289,0.4014011446711993
JPN,q3,0.16583416583416585,0.3942352491378494
JPN,q4,0.21878121878121878,0.3326520112115632
JPN,q5,0.4075924075924076,0.3326520112115632
KAZ,q1,0.098,0.255859245457
KAZ,q2,0.131,0.22855994338176974
KAZ,q3,0.163,0.21857782004425597
KAZ,q4,0.215,0.24302175522300176
KAZ,q5,0.39299999999999996,0.24643940333615175
KEN,q1,0.07200000000000001,0.07293398074006097
KEN,q2,0.11,0.06008901984552256
KEN,q3,0.146,0.058422372027284925
KEN,q4,0.20600000000000002,0.05090189269334374
KEN,q5,0.466,0.05122269763928765
KGZ,q1,0.09990009990009992,0.37793788402806294
KGZ,q2,0.13786213786213788,0.31145635065324667
KGZ,q3,0.17382617382617382,0.2864858762949196
KGZ,q4,0.2247752247752248,0.26626870048805573
KGZ,q5,0.36363636363636365,0.25376249429159015
KIR,q1,0.09490509490509491,0.3874736267425003
KIR,q2,0.13486513486513488,0.2465825184284897
KIR,q3,0.17182817182817184,0.1119642645390713
KIR,q4,0.2247752247752248,0.0777796170431088
KIR,q5,0.3736263736263737,0.0777796170431088
KOR,q1,0.075,0.3697302767902357
KOR,q2,0.124,0.2640062339026935
KOR,q3,0.16899999999999998,0.336537482426341
KOR,q4,0.23199999999999998,0.3070895888308722
KOR,q5,0.4,0.3070895888308722
LAO,q1,0.07007007007007007,0.0579832409604051
LAO,q2,0.10810810810810811,0.0480520497257684
LAO,q3,0.14714714714714713,0.0602220189002813
LAO,q4,0.2102102102102102,0.074134596440947
LAO,q5,0.46446446446446443,0.074134596440947
LBN,q1,0.07892107892107893,0.2843272469992625
LBN,q2,0.12687312687312688,0.2112652763521027
LBN,q3,0.16983016983016985,0.1918173364171755
LBN,q4,0.22577422577422582,0.2570547810088873
LBN,q5,0.3986013986013986,0.2570547810088873
LBR,q1,0.07207207207207209,0.05679167040317527
LBR,q2,0.11611611611611612,0.06051294108431788
LBR,q3,0.1601601601601602,0.06509072129162684
LBR,q4,0.22322322322322324,0.06483239481425439
LBR,q5,0.4284284284284285,0.09104142951360436
LCA,q1,0.055055055055055056,0.1734790286923939
LCA,q2,0.0960960960960961,0.1868557868349379
LCA,q3,0.13813813813813816,0.1502417741647294
LCA,q4,0.2072072072072072,0.1074422711023219
LCA,q5,0.5035035035035035,0.1074422711023219
LKA,q1,0.07400000000000001,0.1205926375569133
LKA,q2,0.111,0.1162838801665341
LKA,q3,0.15,0.12210158495148443
LKA,q4,0.20800000000000002,0.1187044720473349
LKA,q5,0.457,0.11147498041735798
LSO,q1,0.046,0.45277513828321636
LSO,q2,0.08900000000000001,0.29190311829252263
LSO,q3,0.142,0.24736827073415113
LSO,q4,0.226,0.20465798775542532
LSO,q5,0.49700000000000005,0.16930781194914596
LTU,q1,0.07,0.7601398512273985
LTU,q2,0.11699999999999999,0.4526774795124525
LTU,q3,0.156,0.34773187874907363
LTU,q4,0.21600000000000003,0.24116162557174192
LTU,q5,0.441,0.12502071828571784
LUX,q1,0.07207207207207209,0.4394529655122868
LUX,q2,0.12312312312312314,0.3180604568104461
LUX,q3,0.17317317317317318,0.4008177338244255
LUX,q4,0.23123123123123124,0.339268462521567
LUX,q5,0.4004004004004004,0.339268462521567
LVA,q1,0.071,0.5810643813492609
LVA,q2,0.121,0.43565237754266395
LVA,q3,0.166,0.3688969031642053
LVA,q4,0.22699999999999998,0.26358720149038495
LVA,q5,0.415,0.13892079983007768
MAR,q1,0.06700000000000002,0.1542935865934667
MAR,q2,0.10700000000000001,0.1172147671784008
MAR,q3,0.14700000000000002,0.1193360905877264
MAR,q4,0.20900000000000002,0.182940534788884
MAR,q5,0.47000000000000003,0.182940534788884
MDA,q1,0.10099999999999999,0.6283956202349913
MDA,q2,0.142,0.5847065241327831
MDA,q3,0.17600000000000002,0.5106592893597233
MDA,q4,0.221,0.4707546437111717
MDA,q5,0.36,0.36331705278054016
MDV,q1,0.08900000000000001,0.17803673920660726
MDV,q2,0.132,0.1748103514252483
MDV,q3,0.17,0.12027672415920262
MDV,q4,0.22399999999999998,0.09723052322954565
MDV,q5,0.385,0.062009716209566065
MEX,q1,0.055999999999999994,0.21512685429442957
MEX,q2,0.098,0.15936760963519964
MEX,q3,0.141,0.1381063067123599
MEX,q4,0.207,0.13715179914020975
MEX,q5,0.498,0.15845951096280886
MHL,q1,0.07200000000000001,0.3643459528974778
MHL,q2,0.11699999999999999,0.3001343483182159
MHL,q3,0.158,0.2407625531833451
MHL,q4,0.221,
MHL,q5,0.43200000000000005,
MKD,q1,0.058058058058058054,0.399962238051619
MKD,q2,0.12312312312312314,0.34224245732695
MKD,q3,0.18018018018018017,0.2407231007270545
MKD,q4,0.24824824824824826,0.2022708005433801
MKD,q5,0.3903903903903904,0.2022708005433801
MLI,q1,0.076,0.13405029323205087
MLI,q2,0.115,0.08023560534245305
MLI,q3,0.154,0.084542547315383
MLI,q4,0.21600000000000003,0.06570921630976066
MLI,q5,0.439,0.06218310918404581
MMR,q1,0.08900000000000001,0.0412259770340617
MMR,q2,0.13,0.0372774253635929
MMR,q3,0.166,0.0522028176633175
MMR,q4,0.21600000000000003,0.1049060436669236
MMR,q5,0.39899999999999997,0.1049060436669236
MNE,q1,0.06206206206206207,0.41972997524002165
MNE,q2,0.12112112112112113,0.335121809748464
MNE,q3,0.17217217217217218,0.25965596644063116
MNE,q4,0.24024024024024027,0.3275977980964714
MNE,q5,0.4044044044044044,0.30877504574602654
MNG,q1,0.08199999999999999,0.37011074611350575
MNG,q2,0.126,0.30931737441376
MNG,q3,0.168,0.27548569948834123
MNG,q4,0.226,0.24230491255562872
MNG,q5,0.39799999999999996,0.2004682618082358
MOZ,q1,0.046,0.0899802061608471
MOZ,q2,0.083,0.0673691085317272
MOZ,q3,0.124,0.0504536274074556
MOZ,q4,0.187,0.0608295467835643
MOZ,q5,0.56,0.0608295467835643
MRT,q1,0.078,0.0612072709082787
MRT,q2,0.125,0.0453704858085281
MRT,q3,0.168,0.0407238773255551
MRT,q4,0.22899999999999998,0.0271177305543317
MRT,q5,0.4,0.0271177305543317
MUS,q1,0.07200000000000001,0.30723845437356506
MUS,q2,0.11599999999999999,0.2768669102090671
MUS,q3,0.155,0.2698929386397257
MUS,q4,0.21100000000000002,0.24850893789003062
MUS,q5,0.446,0.21096386987173255
MWI,q1,0.06993006993006995,0.08362742778173529
MWI,q2,0.1098901098901099,0.06535147942438269
MWI,q3,0.14885114885114886,0.06358955604851377
MWI,q4,0.2097902097902098,0.0801030371734519
MWI,q5,0.4615384615384616,0.13620156722323676
MYS,q1,0.05894105894105895,0.19573953162520513
MYS,q2,0.1018981018981019,0.14908000169006388
MYS,q3,0.14985014985014986,0.12826049618169616
MYS,q4,0.2207792207792208,0.10137267479445715
MYS,q5,0.46853146853146854,0.06442919135969895
NAM,q1,0.027999999999999997,0.2780851530301058
NAM,q2,0.057999999999999996,0.15665856108761803
NAM,q3,0.098,0.11152275576043036
NAM,q4,0.179,0.08248476326605259
NAM,q5,0.637,0.04444374516306339
NER,q1,0.087,0.06087253443712476
NER,q2,0.124,0.039062351872379185
NER,q3,0.159,0.04957090375705456
NER,q4,0.20800000000000002,0.042554328650813
NER,q5,0.42200000000000004,0.05105953900133861
NGA,q1,0.071,0.026306867548086497
