iso3,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
UGA,2280.07374296159,47249585.0,0.061,0.26159,964.39586947645,0.1075,0.193,0.05432723379014671,0.05759816982907046
UKR,10731.4404296875,38000000.0,0.1,0.69919,4533.9755859375,0.064,0.1331,0.5823882691852463,0.38524448286570206
ARE,74917.674109094,9441129.0,0.092,0.87543,53707.9800809111,0.1054,0.1018,0.433559243114717,0.1522332773973011
GBR,47587.1673459552,66971395.0,0.076,0.84398,46125.2557513568,0.6048,0.6131,0.68410164,0.414240288
USA,64623.1256297446,333287557.0,0.06,0.83084,76329.5822652029,0.43310000000000004,0.7934,0.63,0.09
URY,24426.6593485458,3422794.0,0.057,0.9568800000000001,20795.0423535553,0.051699999999999996,0.21660000000000001,0.34197185626745197,0.26199794831961776
UZB,8073.21043944232,35648100.0,0.07400000000000001,0.50466,2255.15115496772,0.0070999999999999995,0.0393,0.29907568248631133,0.1259418015431377
VUT,2785.9038597746,326740.0,0.075,0.25816,3231.35129995571,0.19,0.19,0.127190049963847,0.0972372135636216
VNM,11396.5313049957,98186856.0,0.066,0.38766,4163.51429874522,,,0.04714113283804564,0.10991335397326239
PSE,5722.40917459721,5043612.0,0.073,0.77291,3789.32796575153,0.0177,0.1013,0.041009918129968057,0.04442194102328749
ZMB,3365.87377980882,20017675.0,0.031,0.45761,1456.90157015445,0.048,0.1038,0.007057030900042887,0.00596097274580302
ZWE,2207.9570327935,16320537.0,0.06,0.32395,1676.82148896726,0.0159,0.0575,0.4610977729164618,0.1777354606313864
ASM,,44273.0,,0.87196,19673.3901023197,,,,
AND,,79824.0,,0.8781100000000001,41992.7727779758,,,,
VGB,,31305.0,,0.49331,,,,,
CUB,,11212191.0,,0.77401,56495.8534866201,,,0.3285557056027259,0.1388495699018389
ERI,,3684032.0,,0.42625,643.790042311239,,,0.0,0.067129270599572
FRO,,53090.0,,0.42779000000000006,66979.2773224808,,,,
PYF,,306279.0,,0.6217,18984.8510962405,,,,
GIB,,32649.0,,1.0,,,,,
GRL,,56661.0,,0.87727,57116.295770722,,,,
GUM,,171774.0,,0.9509099999999999,35904.8635462723,,,,
IMN,,84519.0,,0.53271,79530.6054839665,,,,
PRK,,26069416.0,,0.6291599999999999,,,,,
LIE,,39327.0,,0.14538,197504.548936258,,,,
MCO,,36469.0,,1.0,240862.18244774,,,,
NCL,,269220.0,,0.7232500000000001,35745.1850468561,,,,
MNP,,49551.0,,0.91983,17302.9221368504,,,,
SSD,,10913164.0,0.039,0.20846,1071.77776475545,0.0085,0.0192,,
MAF,,31791.0,,,20320.7168789132,,,,
SYR,4959.392523364486,22125249.0,0.07200000000000001,0.56769,420.622705161108,0.04650000000000001,0.053899999999999997,0.04490774674615101,0.12255292690961
VEN,,28301696.0,0.042,0.88378,15975.7293753361,0.0453,0.10890000000000001,0.1369452908210565,0.1038394752774204
VIR,,105413.0,,0.96136,41976.0083120809,,,,
YEM,,33696614.0,0.073,0.39188,650.272218352095,0.0069,0.04650000000000001,0.15373441881687452,0.09210759724798705
