iso3,year,forecast_accuracy
FRO,1995,0.481
FRO,1996,0.518
FRO,1997,0.525
FRO,1998,0.554
FRO,1999,0.581
FRO,2000,0.584
FRO,2001,0.579
FRO,2002,0.591
FRO,2003,0.59
FRO,2004,0.615
FRO,2005,0.634
FRO,2006,0.6395
FRO,2007,0.645
FRO,2008,0.642
FRO,2009,0.641
FRO,2010,0.623
FRO,2011,0.615
FRO,2012,0.617
FRO,2013,0.637
FRO,2014,0.645
FRO,2015,0.662
FRO,2016,0.656
FRO,2017,0.665
FRO,2018,0.674
GBR,1987,0.389
GBR,1988,0.434
GBR,1989,0.44
GBR,1990,0.461
GBR,1991,0.464
GBR,1992,0.465
GBR,1993,0.466
GBR,1994,0.46
GBR,1995,0.481
GBR,1996,0.518
GBR,1997,0.525
GBR,1998,0.554
GBR,1999,0.581
GBR,2000,0.584
GBR,2001,0.579
GBR,2002,0.591
GBR,2003,0.59
GBR,2004,0.615
GBR,2005,0.634
GBR,2006,0.6395
GBR,2007,0.645
GBR,2008,0.642
GBR,2009,0.641
GBR,2010,0.623
GBR,2011,0.615
GBR,2012,0.617
GBR,2013,0.637
GBR,2014,0.645
GBR,2015,0.662
GBR,2016,0.656
GBR,2017,0.665
GBR,2018,0.674
GIB,1987,0.389
GIB,1988,0.434
GIB,1989,0.44
GIB,1990,0.461
GIB,1991,0.464
GIB,1992,0.465
GIB,1993,0.466
GIB,1994,0.46
GIB,1995,0.481
GIB,1996,0.518
GIB,1997,0.525
GIB,1998,0.554
GIB,1999,0.581
GIB,2000,0.584
GIB,2001,0.579
GIB,2002,0.591
GIB,2003,0.59
GIB,2004,0.615
GIB,2005,0.634
GIB,2006,0.6395
GIB,2007,0.645
GIB,2008,0.642
GIB,2009,0.641
GIB,2010,0.623
GIB,2011,0.615
GIB,2012,0.617
GIB,2013,0.637
GIB,2014,0.645
GIB,2015,0.662
GIB,2016,0.656
GIB,2017,0.665
GIB,2018,0.674
GRC,1987,0.389
GRC,1988,0.434
GRC,1989,0.44
GRC,1990,0.461
GRC,1991,0.464
GRC,1992,0.465
GRC,1993,0.466
GRC,1994,0.46
GRC,1995,0.481
GRC,1996,0.518
GRC,1997,0.525
GRC,1998,0.554
GRC,1999,0.581
GRC,2000,0.584
GRC,2001,0.579
GRC,2002,0.591
GRC,2003,0.59
GRC,2004,0.615
GRC,2005,0.634
GRC,2006,0.6395
GRC,2007,0.645
GRC,2008,0.642
GRC,2009,0.641
GRC,2010,0.623
GRC,2011,0.615
GRC,2012,0.617
GRC,2013,0.637
GRC,2014,0.645
GRC,2015,0.662
GRC,2016,0.656
GRC,2017,0.665
GRC,2018,0.674
GRL,1987,0.389
GRL,1988,0.434
GRL,1989,0.44
GRL,1990,0.461
GRL,1991,0.464
GRL,1992,0.465
GRL,1993,0.466
GRL,1994,0.46
GRL,1995,0.481
GRL,1996,0.518
GRL,1997,0.525
GRL,1998,0.554
GRL,1999,0.581
GRL,2000,0.584
GRL,2001,0.579
GRL,2002,0.591
GRL,2003,0.59
GRL,2004,0.615
GRL,2005,0.634
GRL,2006,0.6395
GRL,2007,0.645
GRL,2008,0.642
GRL,2009,0.641
GRL,2010,0.623
GRL,2011,0.615
GRL,2012,0.617
GRL,2013,0.637
GRL,2014,0.645
GRL,2015,0.662
GRL,2016,0.656
GRL,2017,0.665
GRL,2018,0.674
GUM,1987,0.389
GUM,1988,0.434
GUM,1989,0.44
GUM,1990,0.461
GUM,1991,0.464
GUM,1992,0.465
GUM,1993,0.466
GUM,1994,0.46
GUM,1995,0.481
GUM,1996,0.518
GUM,1997,0.525
GUM,1998,0.554
GUM,1999,0.581
GUM,2000,0.584
GUM,2001,0.579
GUM,2002,0.591
GUM,2003,0.59
GUM,2004,0.615
GUM,2005,0.634
GUM,2006,0.6395
GUM,2007,0.645
GUM,2008,0.642
GUM,2009,0.641
GUM,2010,0.623
GUM,2011,0.615
GUM,2012,0.617
GUM,2013,0.637
GUM,2014,0.645
GUM,2015,0.662
GUM,2016,0.656
GUM,2017,0.665
GUM,2018,0.674
GUY,1987,0.389
GUY,1988,0.434
GUY,1989,0.44
GUY,1990,0.461
GUY,1991,0.464
GUY,1992,0.465
GUY,1993,0.466
GUY,1994,0.46
GUY,1995,0.481
GUY,1996,0.518
GUY,1997,0.525
GUY,1998,0.554
GUY,1999,0.581
GUY,2000,0.584
GUY,2001,0.579
GUY,2002,0.591
GUY,2003,0.59
GUY,2004,0.615
GUY,2005,0.634
GUY,2006,0.6395
GUY,2007,0.645
GUY,2008,0.642
GUY,2009,0.641
GUY,2010,0.623
GUY,2011,0.615
GUY,2012,0.617
GUY,2013,0.637
GUY,2014,0.645
GUY,2015,0.662
GUY,2016,0.656
GUY,2017,0.665
GUY,2018,0.674
HKG,1987,0.389
HKG,1988,0.434
HKG,1989,0.44
HKG,1990,0.461
HKG,1991,0.464
HKG,1992,0.465
HKG,1993,0.466
HKG,1994,0.46
HKG,1995,0.481
HKG,1996,0.518
HKG,1997,0.525
HKG,1998,0.554
HKG,1999,0.581
HKG,2000,0.584
HKG,2001,0.579
HKG,2002,0.591
HKG,2003,0.59
HKG,2004,0.615
HKG,2005,0.634
HKG,2006,0.6395
HKG,2007,0.645
HKG,2008,0.642
HKG,2009,0.641
HKG,2010,0.623
HKG,2011,0.615
HKG,2012,0.617
HKG,2013,0.637
HKG,2014,0.645
HKG,2015,0.662
HKG,2016,0.656
HKG,2017,0.665
HKG,2018,0.674
HRV,1987,0.389
HRV,1988,0.434
HRV,1989,0.44
HRV,1990,0.461
HRV,1991,0.464
HRV,1992,0.465
HRV,1993,0.466
HRV,1994,0.46
HRV,1995,0.481
HRV,1996,0.518
HRV,1997,0.525
HRV,1998,0.554
HRV,1999,0.581
HRV,2000,0.584
HRV,2001,0.579
HRV,2002,0.591
HRV,2003,0.59
HRV,2004,0.615
HRV,2005,0.634
HRV,2006,0.6395
HRV,2007,0.645
HRV,2008,0.642
HRV,2009,0.641
HRV,2010,0.623
HRV,2011,0.615
HRV,2012,0.617
HRV,2013,0.637
HRV,2014,0.645
HRV,2015,0.662
HRV,2016,0.656
HRV,2017,0.665
HRV,2018,0.674
HUN,1987,0.389
HUN,1988,0.434
HUN,1989,0.44
HUN,1990,0.461
HUN,1991,0.464
HUN,1992,0.465
HUN,1993,0.466
HUN,1994,0.46
HUN,1995,0.481
HUN,1996,0.518
HUN,1997,0.525
HUN,1998,0.554
HUN,1999,0.581
HUN,2000,0.584
HUN,2001,0.579
HUN,2002,0.591
HUN,2003,0.59
HUN,2004,0.615
HUN,2005,0.634
HUN,2006,0.6395
HUN,2007,0.645
HUN,2008,0.642
HUN,2009,0.641
HUN,2010,0.623
HUN,2011,0.615
HUN,2012,0.617
HUN,2013,0.637
HUN,2014,0.645
HUN,2015,0.662
HUN,2016,0.656
HUN,2017,0.665
HUN,2018,0.674
IMN,1987,0.389
IMN,1988,0.434
IMN,1989,0.44
IMN,1990,0.461
IMN,1991,0.464
IMN,1992,0.465
IMN,1993,0.466
IMN,1994,0.46
IMN,1995,0.481
IMN,1996,0.518
IMN,1997,0.525
IMN,1998,0.554
IMN,1999,0.581
IMN,2000,0.584
IMN,2001,0.579
IMN,2002,0.591
IMN,2003,0.59
IMN,2004,0.615
IMN,2005,0.634
IMN,2006,0.6395
IMN,2007,0.645
IMN,2008,0.642
IMN,2009,0.641
IMN,2010,0.623
IMN,2011,0.615
IMN,2012,0.617
IMN,2013,0.637
IMN,2014,0.645
IMN,2015,0.662
IMN,2016,0.656
IMN,2017,0.665
IMN,2018,0.674
IRL,1987,0.389
IRL,1988,0.434
IRL,1989,0.44
IRL,1990,0.461
IRL,1991,0.464
IRL,1992,0.465
IRL,1993,0.466
IRL,1994,0.46
IRL,1995,0.481
IRL,1996,0.518
IRL,1997,0.525
IRL,1998,0.554
IRL,1999,0.581
IRL,2000,0.584
IRL,2001,0.579
IRL,2002,0.591
IRL,2003,0.59
IRL,2004,0.615
IRL,2005,0.634
IRL,2006,0.6395
IRL,2007,0.645
IRL,2008,0.642
IRL,2009,0.641
IRL,2010,0.623
IRL,2011,0.615
IRL,2012,0.617
IRL,2013,0.637
IRL,2014,0.645
IRL,2015,0.662
IRL,2016,0.656
IRL,2017,0.665
IRL,2018,0.674
ISL,1987,0.389
ISL,1988,0.434
ISL,1989,0.44
ISL,1990,0.461
ISL,1991,0.464
ISL,1992,0.465
ISL,1993,0.466
ISL,1994,0.46
ISL,1995,0.481
ISL,1996,0.518
ISL,1997,0.525
ISL,1998,0.554
ISL,1999,0.581
ISL,2000,0.584
ISL,2001,0.579
ISL,2002,0.591
ISL,2003,0.59
ISL,2004,0.615
ISL,2005,0.634
ISL,2006,0.6395
