iso3,income_cat,social
KIR,q1,0.3146115407806309
KIR,q2,0.2204671323075361
KIR,q3,0.2204671323075361
KIR,q4,0.2204671323075361
KIR,q5,0.2204671323075361
KOR,q1,0.3612898985677363
KOR,q2,0.21619796732265395
KOR,q3,0.21619796732265395
KOR,q4,0.21619796732265395
KOR,q5,0.21619796732265395
KWT,q1,0.2877507541792532
KWT,q2,0.18237103425658394
KWT,q3,0.18237103425658394
KWT,q4,0.18237103425658394
KWT,q5,0.18237103425658394
KGZ,q1,0.45167869687795914
KGZ,q2,0.25003854400584546
KGZ,q3,0.25003854400584546
KGZ,q4,0.25003854400584546
KGZ,q5,0.25003854400584546
LAO,q1,0.11859256624468528
LAO,q2,0.09904178557931141
LAO,q3,0.09904178557931141
LAO,q4,0.09904178557931141
LAO,q5,0.09904178557931141
LVA,q1,0.5588174848290388
LVA,q2,0.31326393855531165
LVA,q3,0.31326393855531165
LVA,q4,0.31326393855531165
LVA,q5,0.31326393855531165
LBN,q1,0.18064341780828813
LBN,q2,0.12328855875824127
LBN,q3,0.12328855875824127
LBN,q4,0.12328855875824127
LBN,q5,0.12328855875824127
LSO,q1,0.21056811029610226
LSO,q2,0.13520546226560007
LSO,q3,0.13520546226560007
LSO,q4,0.13520546226560007
LSO,q5,0.13520546226560007
LBR,q1,0.034510837361814595
LBR,q2,0.06856886312201779
LBR,q3,0.06856886312201779
LBR,q4,0.06856886312201779
LBR,q5,0.06856886312201779
LBY,q1,0.14322852312684273
LBY,q2,0.09639838022530278
LBY,q3,0.09639838022530278
LBY,q4,0.09639838022530278
LBY,q5,0.09639838022530278
LTU,q1,0.580914803970818
LTU,q2,0.3288964591967113
LTU,q3,0.3288964591967113
LTU,q4,0.3288964591967113
LTU,q5,0.3288964591967113
LUX,q1,0.4457423944388522
LUX,q2,0.34464893897077775
LUX,q3,0.34464893897077775
LUX,q4,0.34464893897077775
LUX,q5,0.34464893897077775
MAC,q1,0.3225458084803951
MAC,q2,0.18719126355241827
MAC,q3,0.18719126355241827
MAC,q4,0.18719126355241827
MAC,q5,0.18719126355241827
MDG,q1,0.11264421782522091
MDG,q2,0.08905092177549433
MDG,q3,0.08905092177549433
MDG,q4,0.08905092177549433
MDG,q5,0.08905092177549433
MWI,q1,0.14732536189424797
MWI,q2,0.09958751184091846
MWI,q3,0.09958751184091846
MWI,q4,0.09958751184091846
MWI,q5,0.09958751184091846
MYS,q1,0.316667719967168
MYS,q2,0.184476770637107
MYS,q3,0.184476770637107
MYS,q4,0.184476770637107
MYS,q5,0.184476770637107
MDV,q1,0.22456383004548897
MDV,q2,0.13514446266719143
MDV,q3,0.13514446266719143
MDV,q4,0.13514446266719143
MDV,q5,0.13514446266719143
MLI,q1,0.14167142022279938
MLI,q2,0.09366370930240474
MLI,q3,0.09366370930240474
MLI,q4,0.09366370930240474
MLI,q5,0.09366370930240474
MLT,q1,0.3563681370801376
MLT,q2,0.24322931787515295
MLT,q3,0.24322931787515295
MLT,q4,0.24322931787515295
MLT,q5,0.24322931787515295
MHL,q1,0.2564793367976972
MHL,q2,0.15186656866386597
MHL,q3,0.15186656866386597
MHL,q4,0.15186656866386597
MHL,q5,0.15186656866386597
MRT,q1,0.19990492965242673
MRT,q2,0.12326793562558247
MRT,q3,0.12326793562558247
MRT,q4,0.12326793562558247
MRT,q5,0.12326793562558247
MUS,q1,0.327031157580913
MUS,q2,0.20134928048907863
MUS,q3,0.20134928048907863
MUS,q4,0.20134928048907863
MUS,q5,0.20134928048907863
MEX,q1,0.26628438596637494
MEX,q2,0.17426827337232853
MEX,q3,0.17426827337232853
MEX,q4,0.17426827337232853
MEX,q5,0.17426827337232853
FSM,q1,0.15090703893387503
FSM,q2,0.12810165248264366
FSM,q3,0.12810165248264366
FSM,q4,0.12810165248264366
FSM,q5,0.12810165248264366
MDA,q1,0.492475098020134
MDA,q2,0.2757802280096322
MDA,q3,0.2757802280096322
MDA,q4,0.2757802280096322
MDA,q5,0.2757802280096322
MNG,q1,0.2974858590936805
MNG,q2,0.24976947406126382
MNG,q3,0.24976947406126382
MNG,q4,0.24976947406126382
MNG,q5,0.24976947406126382
MAR,q1,0.24836050338921745
MAR,q2,0.15050654973751587
MAR,q3,0.15050654973751587
MAR,q4,0.15050654973751587
MAR,q5,0.15050654973751587
MOZ,q1,0.11814766043892455
MOZ,q2,0.09609528046503898
MOZ,q3,0.09609528046503898
MOZ,q4,0.09609528046503898
MOZ,q5,0.09609528046503898
MMR,q1,0.05606192436704632
MMR,q2,0.06434048951871865
MMR,q3,0.06434048951871865
MMR,q4,0.06434048951871865
MMR,q5,0.06434048951871865
NAM,q1,0.250222483474394
NAM,q2,0.14942603812764638
NAM,q3,0.14942603812764638
NAM,q4,0.14942603812764638
NAM,q5,0.14942603812764638
NRU,q1,0.26959212559250467
NRU,q2,0.16136581898635097
NRU,q3,0.16136581898635097
NRU,q4,0.16136581898635097
NRU,q5,0.16136581898635097
NPL,q1,0.15706147697578965
NPL,q2,0.10186017767197321
NPL,q3,0.10186017767197321
NPL,q4,0.10186017767197321
NPL,q5,0.10186017767197321
NLD,q1,0.42443763243805455
NLD,q2,0.3115822605458197
NLD,q3,0.3115822605458197
NLD,q4,0.3115822605458197
NLD,q5,0.3115822605458197
NZL,q1,0.39308369828211287
NZL,q2,0.26555989159626525
NZL,q3,0.26555989159626525
NZL,q4,0.26555989159626525
NZL,q5,0.26555989159626525
NIC,q1,0.06027529596093034
NIC,q2,0.08174652756514944
NIC,q3,0.08174652756514944
NIC,q4,0.08174652756514944
NIC,q5,0.08174652756514944
NER,q1,0.15305629186840902
NER,q2,0.10428268138897713
NER,q3,0.10428268138897713
NER,q4,0.10428268138897713
NER,q5,0.10428268138897713
NGA,q1,0.090423214762126
NGA,q2,0.08463409833877539
NGA,q3,0.08463409833877539
NGA,q4,0.08463409833877539
NGA,q5,0.08463409833877539
MKD,q1,0.5079094221242072
MKD,q2,0.2850885428806691
MKD,q3,0.2850885428806691
MKD,q4,0.2850885428806691
MKD,q5,0.2850885428806691
NOR,q1,0.45889342298749775
NOR,q2,0.3578377169255126
NOR,q3,0.3578377169255126
NOR,q4,0.3578377169255126
NOR,q5,0.3578377169255126
OMN,q1,0.21970441701126098
OMN,q2,0.13357499419179916
OMN,q3,0.13357499419179916
OMN,q4,0.13357499419179916
OMN,q5,0.13357499419179916
PAK,q1,0.17048089992084173
PAK,q2,0.10956748718934302
PAK,q3,0.10956748718934302
PAK,q4,0.10956748718934302
PAK,q5,0.10956748718934302
PLW,q1,0.2046781055311583
PLW,q2,0.13612319713187715
PLW,q3,0.13612319713187715
PLW,q4,0.13612319713187715
PLW,q5,0.13612319713187715
PAN,q1,0.1818335095764507
PAN,q2,0.12008527813515604
PAN,q3,0.12008527813515604
PAN,q4,0.12008527813515604
PAN,q5,0.12008527813515604
PNG,q1,0.0003324685994414711
PNG,q2,0.08636464657487397
PNG,q3,0.08636464657487397
PNG,q4,0.08636464657487397
PNG,q5,0.08636464657487397
PRY,q1,0.2347629655220142
PRY,q2,0.15096890906880478
PRY,q3,0.15096890906880478
PRY,q4,0.15096890906880478
PRY,q5,0.15096890906880478
PER,q1,0.20384446893781705
PER,q2,0.12460335939382093
PER,q3,0.12460335939382093
